Title,Description,Status,Priority,Labels,Assignee,Due Date,Project
"[PRD-UX-001] ""What's next"" post-connection experience","After adding a context source, user is guided to at least 1 actionable next step (e.g., ""Try asking your AI tool about [component]""). No dead-end experience. Discussions ongoing — currently in design phase.",Todo,High,"prd:must-have,ux",Robin,2026-03-14,IPE: UX & Onboarding
"[PRD-UX-002] End-to-end admin workflow","Admin can complete full flow: add source → configure → see ingestion status → view conflicts → resolve conflicts → verify MCP output. No step requires CLI or direct DB access. Spans ENG-007/009.",Todo,High,"prd:must-have,ux",Carly,2026-03-21,IPE: UX & Onboarding
"[PRD-DEM-001] Demo assets","At minimum: scripted video walkthrough or live demo environment showing IPE flow (add source → context ingested → conflict surfaced → use in AI tool → better output). Usable by AE/SE without product team present.",Todo,High,"prd:must-have,demo",,2026-03-21,IPE: Demo & Sales Enablement
"[PRD-DEM-002] Competitive battle cards","1-page positioning against: IBM Carbon MCP, NY State MCP, and ""build your own MCP"" approaches. Includes differentiation points, talk track, and objection responses.",Todo,Medium,"prd:should-have,demo",,2026-03-21,IPE: Demo & Sales Enablement
"[PRD-QA-001] Enterprise-scale testing","IPE tested with enterprise-scale data: realistic source volume (not just internal test data), concurrent users, and data complexity. At least 1 test with non-Knapsack-internal workspace.",Todo,Urgent,"prd:blocker,qa",Robin,2026-03-21,IPE: QA & Launch Readiness
"[PRD-QA-002] CX product knowledge transfer","CX team has completed hands-on training with IPE. Can: demo the product, troubleshoot basic issues, answer top 10 customer questions, and support onboarding without escalating to product.",Todo,Urgent,"prd:blocker,qa",,2026-03-28,IPE: QA & Launch Readiness
"[PRD-QA-003] Go/No-Go decision gate","All Blocker-priority requirements in this PRD are green. Executive sign-off documented. Fallback plan defined if any Blocker is not met.",Todo,Urgent,"prd:blocker,qa",Robin,2026-03-28,IPE: QA & Launch Readiness
"[PRD-QA-004] MCP beta feedback collection","Structured process for collecting and triaging MCP beta feedback from internal and early-access users. Includes: feedback intake form, severity classification, weekly triage, and clear criteria for ""beta-blocking"" vs. ""post-GA."" Must inform QA-005 graduation criteria.",Todo,High,"prd:must-have,qa",Robin,2026-03-14,IPE: QA & Launch Readiness
"[PRD-QA-005] MCP graduation plan (beta → GA)","Documented plan for transitioning MCP from beta to GA. Includes: graduation criteria (stability, performance, coverage), feature flag removal strategy, customer communication plan, and rollback procedure.",Todo,Urgent,"prd:blocker,qa",Robin,2026-03-21,IPE: QA & Launch Readiness
"[PRD-SAL-001] Pricing & positioning training","1-hour session delivered to all AE/SE/CX. Covers: Platform + Consumption model, ""included not free"" positioning, adoption-first selling, overage expansion model. Recorded for async access.",Todo,High,"prd:must-have,sales",Amber,2026-03-21,IPE: Demo & Sales Enablement
"[PRD-SAL-002] IPE quick reference card","Single page with: value prop, 3 personas, 4 use cases, pricing tier summary, and key objection responses. Printable for sales calls.",Todo,High,"prd:must-have,sales",Amber,2026-03-14,IPE: Demo & Sales Enablement
"[PRD-SAL-003] Objection handling guide","Top 10 objections with scripted responses. Must include: ""Why not build our own MCP?"", ""What's the ROI?"", ""Why consumption pricing?"", ""Token cost concerns"", and security/compliance objections.",Todo,High,"prd:must-have,sales",Amber,2026-03-14,IPE: Demo & Sales Enablement
"[PRD-SAL-004] Discovery call script","Structured discovery flow: opener, PCRI validation questions, AI readiness signals, deployment tier signals, next steps. Tested by at least 1 AE before GA.",Todo,Medium,"prd:should-have,sales",,2026-03-14,IPE: Demo & Sales Enablement
"[PRD-SAL-005] Email templates (3 sequences)","Published and approved: 1) Existing customer IPE intro, 2) New prospect cold outreach, 3) Post-demo follow-up. All use ""IPE included"" messaging.",Todo,Medium,"prd:should-have,sales",,2026-03-21,IPE: Demo & Sales Enablement
"[PRD-SAL-006] CX adoption playbook","30-60-90 day adoption milestones defined. Usage triggers for expansion conversation documented. QBR template focused on consumption growth.",Todo,Medium,"prd:should-have,sales",,2026-03-21,IPE: Demo & Sales Enablement
"[PRD-SAL-007] Customer overview deck","10-slide presentation covering: what is IPE, why now, how it works, pricing overview, getting started. Usable for first call or email attachment.",Todo,Medium,"prd:should-have,sales",,2026-03-21,IPE: Demo & Sales Enablement
"[PRD-DOC-001] Remove ""Freemium"" language","All documents updated: ""Free"" → ""Tier 0"" or ""Included."" ""Freemium"" → ""Platform + Consumption."" Applies to: Offering Kit, Onboarding Kit, Index page, ROI Calculator.",Todo,Medium,"prd:should-have,docs",Amber,2026-03-07,IPE: Document Consistency
"[PRD-DOC-002] Align SLA tiers to consumption tiers","SLA table in Offering Kit maps Essentials/Pro/Enterprise to Tier 0/1/2/3. No orphaned tier references.",Todo,Medium,"prd:should-have,docs",Amber,2026-03-14,IPE: Document Consistency
"[PRD-ANL-004] Adoption metric definition","Formal definition of what constitutes ""adoption"" for IPE. Must answer: What counts as an active user? What is a ""meaningful"" operation vs. a health check? What usage threshold = ""adopted""? This is upstream of ANL-003 (dashboard) and all commercial reporting. Usage data exists back to September 2025.",Todo,Urgent,"prd:blocker,analytics",Chris,2026-03-07,IPE: Analytics & Metrics
"[DECISION] Consumption tier boundaries and price points","Tier 1/2/3 thresholds and dollar amounts. Current ranges ($24-48K) too wide to quote. Requires operation costing data from Grant first. Blocks: all GTM materials, AE enablement, CRM configuration.",Todo,Urgent,"decision,prd:blocker",Chris,2026-03-14,IPE: Decisions & Governance
"[DECISION] Tier 0 usage quota number","Specific operation count included in platform fee. Must be ""enough to see value, not unlimited."" Requires understanding of current MCP usage patterns (highest site: 195 requests/2 weeks).",Todo,Urgent,"decision,prd:blocker",Grant,2026-03-07,IPE: Decisions & Governance
"[DECISION] ToS amendment vs. re-acceptance approach","Do existing customers re-accept terms entirely, or can we use addendums? Impacts engineering work on acceptance tracking mechanism.",Todo,High,"decision",Robin,2026-03-07,IPE: Decisions & Governance
"[DECISION] Enterprise test account for QA","Need non-internal data with enterprise-scale source volume, concurrent users, and data complexity for pre-GA testing.",Todo,High,"decision",Amber,2026-03-07,IPE: Decisions & Governance
"[DECISION] MDM strategy scope for V1","Grant flagged need for master data management strategy across PPP. What's required for V1 vs. what can wait?",Todo,High,"decision",Grant,2026-03-07,IPE: Decisions & Governance
"[DECISION] Feature flag approach for MCP GA","MCP is currently behind a feature flag. Does V1 GA mean feature flag removal? Or keep for controlled rollout? What are the criteria for removing the flag?",Todo,High,"decision",Sam,2026-03-14,IPE: Decisions & Governance
"[DECISION] Storybook access gating during beta","Storybook ingestion is a V1 source type, but should it be gated during MCP beta? If gated, need criteria for opening access. Impacts ENG-002 acceptance criteria and QA-004 beta feedback scope.",Todo,High,"decision",Robin,2026-03-07,IPE: Decisions & Governance
"[DECISION] SLA tier mapping to consumption tiers","Do SLA levels (response times, uptime guarantees) map directly to consumption tiers, or are they independent? Current Offering Kit shows Essentials/Pro/Enterprise SLA levels that don't clearly align with Tier 0/1/2/3 consumption model.",Todo,High,"decision",Chris,2026-03-14,IPE: Decisions & Governance
